BookName, Author,Publisher,Code 
未来笔记.激发创意的笔记术,(日) 小西利行著,中国科学技术出版社2022,B026/72
货币之语,(加) 戴维·欧瑞尔著,中国科学技术出版社2022,F821.9/60
流动性经济学.货币幻觉、美元周期与资产配置,邵宇_ 陈达飞著,浙江大学出版社2022,F822.0/204
《共产党宣言》这样学,韩致宁著,研究出版社2022,A811.2/8302
销售的自我修养,刘春晓著,台海出版社2021,F713.3/1184
农村信贷与农业保险,芮敏_ 冯玉景_ 田彩梅主编,中国农业科学技术出版社2021,F832.43/75
新消费品牌如何持续增长,陈陶琦_ 茹炯著,浙江大学出版社2022,F273.2/1098
现象学视域中的东西方心性思想研究,倪梁康_ 张任之编,商务印书馆2022,B089/288
《资本论》中的认识论问题与历史唯物主义的当代阐释,吴猛著,上海三联书店2021,A811.23/243
中国普惠金融发展的减贫效应研究,孙琼著,中国财政经济出版社2022,F832/483
深市股票上市规则汇编.2020,深圳证券交易所创业企业培训中心编,中国财政经济出版社2021,F832.51/883
巴菲特投资之道.股东研讨会,(美) 沃伦·巴菲特_ (美) 查理·芒格著,北京联合出版公司2022,F837.124.8/125
日本早期社会主义思想史.大杉荣与他的时代,(日) 梅森直之著,上海译文出版社有限公司2022,D093.13/14
活得通透,(日) 中村恒子_ 奥田弘美著,北京日报出版社2022,B842.6/466
《<黑格尔法哲学批判>导言》这样学,朱红_ 曹金龙著,研究出版社2022,A811.21/54
《莱茵报》时期文本这样学,田曦_ 房静雅_ 姚景谦著,研究出版社2022,A811/37
论生命之短暂,(古罗马) 塞涅卡著,湖南人民出版社2021,B083/101
《家庭、私有制和国家的起源》这样学,张艳萍著,研究出版社2022,A811.2/8303
信任三角形,(英) 希拉·霍尔特_ (英) 弗雷德里克·桑德瓦尔著,中国科学技术出版社2022,F272/1039
高敏感人士的幸福清单,(日) 武田友纪著,中国科学技术出版社2021,B842.6/467
管理的变革,邓荣霖著,企业管理出版社2022,F272/1040
《博士论文》这样学,汪越著,研究出版社2022,A811/38
农业绿色发展与生态文明建设,夏莉_ 马兰_ 李宝伟主编,中国农业科学技术出版社2020,F323/274
共情的能力,(美) 卡拉·麦克拉伦著,浙江教育出版社2022,B84-49/450
远离高冲突关系.别让这五种人格毁了你的人生,(美) 比尔·埃迪著,中国人民大学出版社2022,B84/474
人身损害索赔实战策略,苏双编著,法律出版社2021,DF514/76
循环式增长.AI如何赋能经营战略,(日) 堀田创_ (日) 尾原和启著,中国科学技术出版社2022,F272.7/220
《德意志意识形态》这样学,曹金龙著,研究出版社2022,A811.2/8304
《国民经济学批判大纲》《英国工人阶级状况》这样学,何娟著,研究出版社2022,A811.2/8305
《论犹太人问题》这样学,李洁著,研究出版社2022,A811.2/8306
趣说金融科技.挑战华尔街并推进金融变革,(美) 丹尼尔·P. 西蒙著,中国科学技术出版社2022,F830/859
中国在全球生产网络中的角色变迁与对外经济发展方式转变,唐海燕等著,上海远东出版社2022,F114.41/147
何为灵知派,(美) 凯伦·L. 金著,上海书店出版社2022,B972/95
我战胜了坏情绪.让每一种情绪都有积极的意义,(加) 莫妮卡·布里永著,人民邮电出版社2022,B842.6/468
土壤污染状况调查典型案例详解,焦永杰主编,中国环境出版集团2022,X53/79
生态恢复论.环境侵权新法理,吕忠梅_ 窦海阳著,法律出版社2022,DF468.04/286
此情可待成追忆,张抗抗著,商务印书馆2020,I267/3897
德语固定词组全攻略,彭彧_ 李权_ 高星璐编著,同济大学出版社2022,H33/46
《1844年经济学哲学手稿》这样学,王继华著,研究出版社2022,A811.2/8307
《神圣家族》这样学,梅沙白著,研究出版社2022,A811.2/8308
《反杜林论》这样学,王蔚_ 吴波_ 张懿著,研究出版社2022,A811.2/8309
